H2Hs,Opponent,W,L,Win%,TB,TBW,TBL,TB%,First Match,Last Match,MS,DR,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,BPSvd%,BPCnv%
1,Laurent Lokoli [FRA],1,0,100.0%,0,0,0,,25‑Mar‑2019,25‑Mar‑2019,0,,,,,,,,,,
1,Florent Bax [FRA],1,0,100.0%,1,0,1,0.0%,25‑Mar‑2019,25‑Mar‑2019,0,,,,,,,,,,
1,Jeremy Jahn [GER],1,0,100.0%,0,0,0,,25‑Feb‑2019,25‑Feb‑2019,0,,,,,,,,,,
1,Elmar Ejupovic [BIH],1,0,100.0%,0,0,0,,25‑Feb‑2019,25‑Feb‑2019,0,,,,,,,,,,
1,Antoine Cornut Chauvinc [FRA],1,0,100.0%,1,1,0,100.0%,25‑Feb‑2019,25‑Feb‑2019,0,,,,,,,,,,
1,Jules Okala [FRA],1,0,100.0%,0,0,0,,25‑Feb‑2019,25‑Feb‑2019,0,,,,,,,,,,
1,Albano Olivetti [FRA],1,0,100.0%,2,2,0,100.0%,25‑Feb‑2019,25‑Feb‑2019,0,,,,,,,,,,
1,Gianluigi Quinzi [ITA],1,0,100.0%,0,0,0,,18‑Feb‑2019,18‑Feb‑2019,1,1.70,8.0%,4.0%,52.0%,80.8%,50.0%,66.0%,57.7%,33.3%,50.0%
1,Niels Lootsma [NED],0,1,0.0%,0,0,0,,11‑Feb‑2019,11‑Feb‑2019,0,,,,,,,,,,
1,Timur Kiyamov [RUS],1,0,100.0%,0,0,0,,11‑Feb‑2019,11‑Feb‑2019,0,,,,,,,,,,
1,Artem Dubrivnyy [RUS],1,0,100.0%,0,0,0,,11‑Feb‑2019,11‑Feb‑2019,0,,,,,,,,,,
1,Aliaksandr Liaonenka [BLR],1,0,100.0%,0,0,0,,11‑Feb‑2019,11‑Feb‑2019,0,,,,,,,,,,
1,Evan Hoyt [GBR],0,1,0.0%,0,0,0,,28‑Jan‑2019,28‑Jan‑2019,0,,,,,,,,,,
1,Luke Johnson [GBR],1,0,100.0%,0,0,0,,28‑Jan‑2019,28‑Jan‑2019,0,,,,,,,,,,
1,Luis Faria [BRA],0,1,0.0%,0,0,0,,21‑Jan‑2019,21‑Jan‑2019,0,,,,,,,,,,
1,Illya Marchenko [UKR],0,1,0.0%,0,0,0,,19‑Nov‑2018,19‑Nov‑2018,1,0.72,4.5%,4.5%,48.9%,72.1%,44.4%,58.0%,30.1%,60.0%,28.6%
1,David Pichler [AUT],1,0,100.0%,0,0,0,,22‑Oct‑2018,22‑Oct‑2018,0,,,,,,,,,,
