Surface,Outcome_raw,Outcome,DR,A%,DF%,1stIn,1st%,2nd%,DR,TPW,RPW,vA%,v1st%,v2nd%
Hard,(14)Sinner d. Lukas Rosol [CZE],W,1.14,9.8%,2.7%,65.2%,79.5%,46.2%,1.14,52.0%,36.8%,5.1%,35.3%,40.6%
Hard,(14)Sinner d. Tristan Lamasine [FRA],W,1.46,4.0%,2.7%,57.3%,69.8%,56.3%,1.46,59.0%,52.5%,1.7%,45.7%,62.5%
Hard,(3)Aljaz Bedene [SLO] d. (15)Sinner,L,0.90,8.2%,2.1%,59.8%,72.4%,56.4%,0.90,48.2%,30.6%,14.3%,21.9%,47.1%
Hard,(15)Sinner d. Lucas Miedler [AUT],W,1.46,13.2%,1.5%,67.6%,71.7%,54.5%,1.46,57.3%,49.3%,2.7%,40.4%,69.6%
Hard,(6)Mikhail Kukushkin [KAZ] d. (WC)Sinner,L,1.05,9.8%,3.3%,68.9%,71.4%,47.4%,1.05,49.0%,37.8%,1.2%,35.3%,41.9%
Hard,(23)Stan Wawrinka [SUI] d. (Q)Sinner,L,0.93,1.6%,4.1%,59.8%,61.6%,61.2%,0.93,47.4%,35.8%,10.1%,28.3%,48.2%
Hard,(24)Sinner d. Mario Vilella Martinez [ESP],W,2.09,8.3%,6.3%,50.0%,95.8%,58.3%,2.09,59.8%,47.8%,7.2%,43.2%,53.1%
Hard,(24)Sinner d. Viktor Galovic [ITA],W,1.00,10.3%,6.3%,55.6%,78.6%,42.9%,1.00,50.2%,37.2%,10.7%,27.0%,53.2%
Hard,(24)Sinner d. Matteo Viola [ITA],W,1.82,2.3%,9.1%,40.9%,72.2%,53.8%,1.82,65.4%,70.3%,0.0%,66.7%,80.0%
Hard,(5)Bjorn Fratangelo [USA] d. Sinner,L,0.82,13.7%,5.5%,61.6%,60.0%,50.0%,0.82,46.4%,35.8%,4.5%,23.3%,58.3%
Hard,Sinner d. (LL)Sem Verbeek [NED],W,1.29,3.3%,2.2%,66.3%,72.1%,71.0%,1.29,53.4%,36.4%,4.0%,32.3%,43.2%
Hard,(3)Sinner d. (2)Alex Bolt [AUS],W,0.99,9.5%,5.3%,56.8%,72.2%,48.8%,0.99,49.7%,37.5%,12.5%,24.0%,52.2%
Hard,(3)Sinner d. (13)Jc Aragone [USA],W,1.51,10.9%,7.3%,50.9%,89.3%,51.9%,1.51,57.1%,43.9%,5.3%,35.0%,64.7%
Hard,(3)Sinner d. (5)Duck Hee Lee [KOR],W,1.20,5.6%,2.2%,55.6%,76.0%,40.0%,1.20,53.6%,48.1%,1.9%,39.0%,60.0%
Hard,(3)Sinner d. (16)Maxime Cressy [USA],W,1.27,9.7%,3.2%,58.1%,79.6%,59.0%,1.27,54.1%,37.0%,18.5%,22.6%,56.4%
Hard,(3)Sinner d. (Alt)Alexey Zakharov [RUS],W,1.34,7.7%,5.1%,48.7%,76.3%,57.5%,1.34,55.9%,44.6%,5.4%,23.7%,66.7%
Hard,(7)Mitchell Krueger [USA] d. (9)Sinner,L,1.03,12.3%,4.1%,50.7%,83.8%,41.7%,1.03,50.0%,38.3%,14.8%,27.7%,52.9%
Hard,(9)Sinner d. Tomas Barrios Vera [CHI],W,1.30,15.7%,2.2%,61.8%,70.9%,58.8%,1.30,53.7%,44.0%,2.6%,40.0%,51.2%
Clay,Aljaz Bedene [SLO] d. (WC)Sinner,L,0.79,4.1%,1.4%,58.1%,62.8%,54.8%,0.79,45.6%,32.0%,9.3%,22.7%,45.2%
Clay,(WC)Sinner d. Pedro Sousa [POR],W,0.93,1.1%,4.6%,52.9%,73.9%,43.9%,0.93,49.4%,37.3%,5.3%,26.9%,60.9%
Grass,Alex Bolt [AUS] d. Sinner,L,1.06,14.9%,5.2%,57.5%,77.9%,45.6%,1.06,50.4%,38.0%,11.3%,26.0%,59.3%
Grass,(1)Joao Sousa [POR] d. (WC)Sinner,L,0.77,5.6%,3.2%,54.8%,64.7%,53.6%,0.77,46.7%,31.1%,2.9%,28.8%,35.1%
Grass,Nicolas Jarry [CHI] d. (Q)Sinner,L,0.84,1.7%,3.4%,60.3%,57.1%,65.2%,0.84,46.0%,33.3%,15.2%,27.9%,43.5%
Grass,(Alt)Sinner d. (2)Thomas Fabbiano [ITA],W,1.32,8.3%,0.0%,68.3%,68.3%,52.6%,1.32,55.4%,48.6%,0.0%,46.2%,55.6%
Grass,(Alt)Sinner d. (7)Lukas Lacko [SVK],W,1.24,11.8%,4.9%,55.9%,77.2%,53.3%,1.24,53.2%,41.2%,12.3%,28.4%,59.6%
Clay,(LL)Tristan Lamasine [FRA] d. (Q)Sinner,L,0.76,5.5%,3.6%,56.4%,45.2%,70.8%,0.76,43.8%,33.3%,1.5%,24.0%,62.5%
Clay,(WC)Sinner d. Tristan Lamasine [FRA],W,1.45,9.3%,3.7%,68.5%,81.1%,47.1%,1.45,55.6%,42.9%,3.2%,40.9%,47.4%
Clay,(WC)Sinner d. (6)Antoine Hoang [FRA],W,1.25,4.5%,4.5%,52.3%,73.9%,61.9%,1.25,53.2%,39.8%,5.1%,37.5%,44.1%
Clay,(8)Stefanos Tsitsipas [GRE] d. (WC)Sinner,L,0.66,2.1%,0.0%,58.3%,57.1%,35.0%,0.66,40.8%,34.5%,1.8%,35.3%,33.3%
Clay,(WC)Sinner d. Steve Johnson [USA],W,0.96,3.8%,3.8%,60.3%,70.2%,45.2%,0.96,49.0%,38.0%,6.3%,32.6%,45.5%
Clay,(4)Kamil Majchrzak [POL] d. Sinner,L,0.63,0.0%,6.4%,51.1%,45.8%,26.1%,0.63,38.1%,40.0%,0.0%,28.6%,54.5%
Clay,Sinner d. Steven Diez [CAN],W,1.16,5.2%,2.1%,47.4%,65.2%,54.9%,1.16,53.4%,46.7%,2.2%,44.8%,52.0%
Clay,Sinner d. (2)Jiri Vesely [CZE],W,1.18,4.1%,4.1%,51.4%,60.5%,63.9%,1.18,53.4%,44.6%,4.1%,37.2%,54.8%
Clay,Sinner d. (WC)Jiri Lehecka [CZE],W,1.28,5.9%,7.4%,55.9%,73.7%,40.0%,1.28,55.9%,52.5%,1.7%,28.1%,81.5%
Clay,Sinner d. (9)Dominik Koepfer [GER],W,1.52,3.8%,0.0%,52.8%,75.0%,48.0%,1.52,59.6%,57.4%,0.0%,57.5%,57.1%
Clay,Sinner d. Attila Balazs [HUN],W,1.20,0.0%,2.6%,51.9%,67.5%,48.6%,1.20,53.8%,50.0%,5.2%,44.4%,57.1%
Clay,(5)Laslo Djere [SRB] d. (LL)Sinner,L,0.74,1.4%,1.4%,54.3%,52.6%,50.0%,0.74,44.0%,35.9%,7.8%,29.7%,44.4%
Clay,(LL)Sinner d. (WC)Mate Valkusz [HUN],W,0.98,1.5%,2.9%,52.9%,66.7%,31.3%,0.98,49.3%,48.8%,2.4%,50.0%,46.4%
Clay,(4)Yannick Maden [GER] d. (WC)Sinner,L,0.83,3.5%,1.8%,47.4%,63.0%,46.7%,0.83,45.0%,37.8%,0.0%,31.9%,48.1%
Clay,(WC)Sinner d. (7)Lukas Rosol [CZE],W,1.93,8.6%,2.9%,51.4%,83.3%,58.8%,1.93,62.7%,55.0%,0.0%,54.5%,55.6%
Clay,(7)Andrea Arnaboldi [ITA] d. Sinner,L,0.80,1.9%,3.7%,64.8%,60.0%,47.4%,0.80,44.8%,35.5%,1.6%,27.8%,46.2%
Clay,Sinner d. Gian Marco Moroni [ITA],W,1.08,4.3%,1.4%,58.0%,62.5%,51.7%,1.08,51.0%,45.2%,1.2%,40.0%,55.2%
Clay,(WC)Carlos Alcaraz [ESP] d. (WC)Sinner,L,0.86,2.4%,6.0%,54.2%,57.8%,36.8%,0.86,46.3%,44.3%,0.0%,46.3%,40.0%
Clay,Sinner d. (2)Andrea Pellegrino [ITA],W,,,,,,,,,,,,
Clay,Sinner d. (5)Fabrizio Ornago [ITA],W,,,,,,,,,,,,
Clay,Sinner d. (IR )Ronald Slobodchikov [RUS],W,,,,,,,,,,,,
Clay,Sinner d. Laurent Lokoli [FRA],W,,,,,,,,,,,,
Clay,Sinner d. (Q)Florent Bax [FRA],W,,,,,,,,,,,,
Hard,(WC)Sinner d. (5)Jeremy Jahn [GER],W,,,,,,,,,,,,
Hard,(WC)Sinner d. (IR )Elmar Ejupovic [BIH],W,,,,,,,,,,,,
Hard,(WC)Sinner d. Antoine Cornut Chauvinc [FRA],W,,,,,,,,,,,,
Hard,(WC)Sinner d. Jules Okala [FRA],W,,,,,,,,,,,,
Hard,(WC)Sinner d. Albano Olivetti [FRA],W,,,,,,,,,,,,
Hard,(WC)Sinner d. Roberto Marcora [ITA],W,1.58,6.1%,0.0%,55.1%,81.5%,54.5%,1.58,57.7%,48.4%,4.8%,50.0%,44.4%
Hard,(WC)Sinner d. Tristan Lamasine [FRA],W,1.69,6.5%,2.2%,45.7%,76.2%,56.0%,1.69,61.5%,58.6%,1.7%,51.4%,69.6%
Hard,(WC)Sinner d. (4)Gianluigi Quinzi [ITA],W,1.70,8.0%,4.0%,52.0%,80.8%,50.0%,1.70,61.8%,57.7%,0.0%,51.9%,64.0%
Hard,(WC)Sinner d. Viktor Galovic [ITA],W,1.04,2.7%,2.7%,52.0%,69.2%,47.2%,1.04,50.3%,43.2%,4.5%,30.0%,60.5%
Hard,(WC)Sinner d. (9)Salvatore Caruso [ITA],W,1.19,8.8%,6.3%,60.0%,72.9%,43.8%,1.19,52.8%,46.0%,3.0%,35.1%,60.5%
Hard,(WC)Sinner d. Lucas Miedler [AUT],W,1.64,12.7%,0.0%,58.7%,75.7%,73.1%,1.64,58.5%,41.7%,5.0%,37.8%,47.8%
Hard,Niels Lootsma [NED] d. Sinner,L,,,,,,,,,,,,
Hard,Sinner d. (Q)Timur Kiyamov [RUS],W,,,,,,,,,,,,
Hard,Sinner d. Artem Dubrivnyy [RUS],W,,,,,,,,,,,,
Hard,Sinner d. (Q)Aliaksandr Liaonenka [BLR],W,,,,,,,,,,,,
Hard,(6)Evan Hoyt [GBR] d. Sinner,L,,,,,,,,,,,,
Hard,Sinner d. Luke Johnson [GBR],W,,,,,,,,,,,,
Hard,(Q)Luis Faria [BRA] d. Sinner,L,,,,,,,,,,,,
Hard,(Q)Illya Marchenko [UKR] d. (WC)Sinner,L,0.72,4.5%,4.5%,48.9%,72.1%,44.4%,0.72,44.4%,30.1%,4.8%,25.0%,37.1%
Hard,(2)Aziz Dougaz [TUN] d. Sinner,L,,,,,,,,,,,,
Hard,Sinner d. David Pichler [AUT],W,,,,,,,,,,,,
Hard,Sinner d. Skander Mansouri [TUN],W,,,,,,,,,,,,
Hard,Constant Lestienne [FRA] d. (WC)Sinner,L,0.60,9.3%,3.1%,58.9%,72.4%,56.6%,0.60,46.5%,20.6%,9.3%,17.7%,25.7%
Hard,(WC)Sinner d. (WC)Luca Giacomini [ITA],W,1.95,15.1%,1.9%,66.0%,88.6%,55.6%,1.95,61.0%,44.2%,1.9%,26.5%,77.8%
Clay,(8)Oscar Jose Gutierrez [BRA] d. (WC)Sinner,L,0.99,2.7%,5.3%,59.3%,62.7%,39.1%,0.99,49.8%,46.4%,1.8%,40.8%,56.1%
Clay,Samuel Bensoussan [FRA] d. Sinner,L,,,,,,,,,,,,
Clay,Sinner d. (Q)Demian Raab [GER],W,,,,,,,,,,,,
Clay,(5)Juan Pablo Varillas [PER] d. (WC)Sinner,L,0.68,1.9%,7.7%,46.2%,41.7%,35.7%,0.68,40.2%,41.5%,6.2%,39.5%,44.4%
Clay,Andrej Martin [SVK] d. (WC)Sinner,L,0.62,0.0%,6.6%,52.5%,53.1%,41.4%,0.62,41.6%,32.5%,0.0%,32.1%,33.3%
Clay,(2)Alessandro Petrone [ITA] d. Sinner,L,,,,,,,,,,,,
Clay,Sinner d. (WC)Andrea Gola [ITA],W,,,,,,,,,,,,
Clay,Peter Heller [GER] d. Sinner,L,,,,,,,,,,,,
Clay,Sinner d. Alessandro Ceppellini [ITA],W,,,,,,,,,,,,
Clay,Sinner d. (PR)Joy Vigani [ITA],W,,,,,,,,,,,,
Clay,Sinner d. (3)Lorenzo Frigerio [ITA],W,,,,,,,,,,,,
Clay,Sinner d. (Q)Gianluca Acquaroli [ITA],W,,,,,,,,,,,,
Clay,(7)Juan Pablo Ficovich [ARG] d. (Q)Sinner,L,,,,,,,,,,,,
Clay,(Q)Sinner d. Giacomo Dambrosi [ITA],W,,,,,,,,,,,,
Clay,Jordi Samper Montana [ESP] d. (WC)Sinner,L,0.75,1.9%,11.1%,53.7%,58.6%,36.0%,0.75,43.2%,39.1%,0.0%,19.4%,64.3%
Clay,Maxime Tabatruong [FRA] d. Sinner,L,,,,,,,,,,,,
Clay,Sinner d. Federico Iannaccone [ITA],W,,,,,,,,,,,,
Clay,Giovanni Fonio [ITA] d. (WC)Sinner,L,,,,,,,,,,,,
Clay,(WC)Sinner d. Filippo Moroni [ITA],W,,,,,,,,,,,,
Clay,(WC)Sinner d. Jacopo Stefanini [ITA],W,,,,,,,,,,,,
Clay,(2)Pawel Cias [POL] d. Sinner,L,,,,,,,,,,,,
Clay,Sinner d. Timur Kiuamov [RUS],W,,,,,,,,,,,,
Hard,(2)Yaraslau Shyla [BLR] d. (Q)Sinner,L,,,,,,,,,,,,
Hard,(Q)Sinner d. Mateo Nicolas Martinez [ARG],W,,,,,,,,,,,,
Hard,(8)Rudolf Molleker [GER] d. Sinner,L,,,,,,,,,,,,
Hard,Guy Den Heijer [NED] d. Sinner,L,,,,,,,,,,,,
Hard,(7)Johan Sebastien Tatlot [FRA] d. Sinner,L,,,,,,,,,,,,
Hard,Sinner d. (Q)Aryan Goveas [IND],W,,,,,,,,,,,,
