Surface,Outcome_raw,Outcome,DR,A%,DF%,1stIn,1st%,2nd%,DR,TPW,RPW,vA%,v1st%,v2nd%
Hard,(10)Sinner d. (1)Carlos Alcaraz [ESP],W,1.24,7.7%,3.8%,63.5%,68.2%,55.3%,1.24,53.9%,45.1%,4.4%,33.9%,58.8%
Hard,(10)Sinner d. Emil Ruusuvuori [FIN],W,2.21,9.5%,4.8%,52.4%,95.5%,60.0%,2.21,60.8%,47.3%,3.6%,34.3%,70.0%
Hard,(10)Sinner d. (6)Andrey Rublev [RUS],W,1.81,17.4%,0.0%,60.9%,85.7%,66.7%,1.81,56.9%,39.3%,10.7%,26.8%,73.3%
Hard,(10)Sinner d. (21)Grigor Dimitrov [BUL],W,1.22,3.8%,1.9%,60.4%,68.8%,47.6%,1.22,54.1%,48.3%,1.7%,28.1%,73.1%
Hard,(10)Sinner d. Laslo Djere [SRB],W,1.45,6.0%,8.0%,58.0%,79.3%,42.9%,1.45,57.4%,52.3%,4.6%,34.5%,66.7%
Hard,(1)Carlos Alcaraz [ESP] d. (11)Sinner,L,0.93,5.6%,5.6%,50.0%,77.8%,47.2%,0.93,48.6%,34.7%,6.9%,26.9%,55.0%
Hard,(11)Sinner d. (4)Taylor Fritz [USA],W,1.16,5.7%,1.1%,63.6%,80.4%,46.9%,1.16,52.2%,37.0%,4.3%,30.0%,45.2%
Hard,(11)Sinner d. (PR)Stan Wawrinka [SUI],W,1.41,7.8%,0.0%,48.4%,67.7%,60.6%,1.41,57.5%,50.8%,1.6%,41.2%,62.1%
Hard,(11)Sinner d. Adrian Mannarino [FRA],W,1.69,9.8%,6.6%,54.1%,81.8%,78.6%,1.69,54.9%,33.3%,1.4%,28.9%,38.2%
Hard,(11)Sinner d. Richard Gasquet [FRA],W,1.44,13.6%,1.5%,53.0%,88.6%,54.8%,1.44,56.1%,39.4%,7.6%,23.7%,60.7%
Hard,(WC)Arthur Fils [FRA] d. (2)Sinner,L,,,,,,,,,,,,
Hard,(6)Daniil Medvedev [RUS] d. Sinner,L,0.78,2.1%,1.0%,57.3%,61.8%,46.3%,0.78,45.6%,34.9%,4.7%,25.4%,55.6%
Hard,Sinner d. (WC)Tallon Griekspoor [NED],W,1.15,9.3%,1.3%,52.0%,82.1%,63.9%,1.15,52.0%,30.7%,5.3%,19.0%,45.5%
Hard,Sinner d. (PR)Stan Wawrinka [SUI],W,1.76,7.7%,0.0%,57.7%,73.3%,59.1%,1.76,63.0%,57.5%,5.0%,40.9%,77.8%
Hard,Sinner d. (1)Stefanos Tsitsipas [GRE],W,2.64,6.8%,2.3%,61.4%,88.9%,76.5%,2.64,59.4%,41.9%,1.6%,31.3%,53.3%
Hard,Sinner d. Benjamin Bonzi [FRA],W,1.44,9.0%,0.0%,57.7%,77.8%,54.5%,1.44,55.6%,46.1%,7.8%,43.1%,51.4%
Hard,(2)Sinner d. Maxime Cressy [USA],W,1.64,6.6%,1.6%,62.3%,86.8%,69.6%,1.64,56.1%,32.3%,16.1%,23.1%,47.8%
Hard,(2)Sinner d. (WC)Arthur Fils [FRA],W,1.75,9.1%,1.8%,61.8%,82.4%,66.7%,1.75,56.8%,41.4%,8.6%,37.5%,50.0%
Hard,(2)Sinner d. Lorenzo Sonego [ITA],W,1.52,2.0%,3.9%,54.9%,64.3%,73.9%,1.52,57.1%,47.5%,4.9%,39.5%,66.7%
Hard,(2)Sinner d. Marton Fucsovics [HUN],W,,,,,,,,,,,,
Hard,(3)Stefanos Tsitsipas [GRE] d. (15)Sinner,L,1.06,8.1%,2.2%,67.6%,71.7%,52.3%,1.06,49.5%,36.7%,7.1%,33.1%,45.8%
Hard,(15)Sinner d. Marton Fucsovics [HUN],W,1.27,4.4%,3.7%,59.3%,71.3%,45.5%,1.27,55.7%,50.0%,2.5%,47.1%,57.6%
Hard,(15)Sinner d. Tomas Martin Etcheverry [ARG],W,2.09,8.8%,4.4%,61.8%,88.1%,61.5%,2.09,62.4%,46.2%,9.2%,40.0%,56.0%
Hard,(15)Sinner d. Kyle Edmund [GBR],W,1.71,7.3%,2.4%,65.9%,81.5%,42.9%,1.71,61.3%,54.3%,2.5%,46.7%,63.9%
